,playerId,shirtNo,name,position,isFirstEleven
0,409426,30,Mads Hermansen,GK,True
1,301441,2,James Justin,DR,True
2,299693,3,Wout Faes,DC,True
3,368312,5,Caleb Okoli,DC,True
4,416970,16,Victor Kristiansen,DL,True
5,143990,8,Harry Winks,DMC,True
6,364215,22,Oliver Skipp,DMC,True
7,430985,7,Abdul Fatawu,AMR,True
8,327683,6,Wilfred Ndidi,AMC,True
9,67491,18,Jordan Ayew,AML,True
10,106981,9,Jamie Vardy,FW,True
11,432384,40,Facundo Buonanotte,Sub,
12,433572,11,Bilal El Khannouss,Sub,
13,134332,14,Bobby De Cordova-Reid,Sub,
14,429531,35,Kasey McAteer,Sub,
15,318750,10,Stephy Mavididi,Sub,
16,87182,23,Jannik Vestergaard,Sub,
17,339672,31,Daniel Iversen,Sub,
18,345664,24,Boubakary Soumaré,Sub,
19,120763,21,Ricardo Pereira,Sub,
20,102248,23,Emiliano Martínez,GK,True
21,408946,26,Lamare Bogarde,DR,True
22,344259,14,Pau Torres,DC,True
23,301440,4,Ezri Konsa,DC,True
24,89925,12,Lucas Digne,DL,True
25,327682,31,Leon Bailey,MR,True
26,400815,24,Amadou Onana,MC,True
27,136345,8,Youri Tielemans,MC,True
28,318449,7,John McGinn,ML,True
29,362824,27,Morgan Rogers,FW,True
30,148503,11,Ollie Watkins,FW,True
31,433517,9,Jhon Durán,Sub,
32,384134,22,Ian Maatsen,Sub,
33,369813,41,Jacob Ramsey,Sub,
34,92547,6,Ross Barkley,Sub,
35,492955,20,Kosta Nedeljkovic,Sub,
36,260592,10,Emiliano Buendía,Sub,
37,476543,18,Joe Gauci,Sub,
38,408953,50,Sil Swinkels,Sub,
39,408957,48,Oliwier Zych,Sub,
