,playerId,shirtNo,name,position,isFirstEleven
0,147863,1,Guglielmo Vicario,GK,True
1,362352,23,Pedro Porro,DR,True
2,323663,17,Cristian Romero,DC,True
3,425229,37,Micky van de Ven,DC,True
4,401044,13,Destiny Udogie,DL,True
5,303096,8,Yves Bissouma,MC,True
6,355855,21,Dejan Kulusevski,MC,True
7,137015,10,James Maddison,MC,True
8,379688,22,Brennan Johnson,FWR,True
9,91909,7,Son Heung-Min,FW,True
10,444751,28,Wilson Odobert,FWL,True
11,317804,9,Richarlison,Sub,
12,403859,29,Pape Sarr,Sub,
13,505295,15,Lucas Bergvall,Sub,
14,362219,24,Djed Spence,Sub,
15,429922,14,Archie Gray,Sub,
16,130903,16,Timo Werner,Sub,
17,400097,6,Radu Dragusin,Sub,
18,29796,20,Fraser Forster,Sub,
19,103837,33,Ben Davies,Sub,
20,110189,1,Jordan Pickford,GK,True
21,535878,75,Roman Dixon,DR,True
22,107941,5,Michael Keane,DC,True
23,131464,6,James Tarkowski,DC,True
24,345516,19,Vitalii Mykolenko,DL,True
25,80464,27,Idrissa Gueye,DMC,True
26,416208,42,Tim Iroegbunam,DMC,True
27,317896,11,Jack Harrison,AMR,True
28,116317,16,Abdoulaye Doucouré,AMC,True
29,357427,7,Dwight McNeil,AML,True
30,141469,9,Dominic Calvert-Lewin,FW,True
31,403646,29,Jesper Lindstrøm,Sub,
32,380546,14,Beto,Sub,
33,366116,10,Iliman Ndiaye,Sub,
34,535879,45,Harrison Armstrong,Sub,
35,119822,21,Neal Maupay,Sub,
36,424495,15,Jake O'Brien,Sub,
37,362852,12,João Virgínia,Sub,
38,297544,4,Mason Holgate,Sub,
39,512228,44,Jenson Metcalfe,Sub,
