,playerId,shirtNo,name,position,isFirstEleven
0,114147,1,Alisson Becker,GK,True
1,318871,66,Trent Alexander-Arnold,DR,True
2,345957,5,Ibrahima Konaté,DC,True
3,95408,4,Virgil van Dijk,DC,True
4,115726,26,Andy Robertson,DL,True
5,345319,10,Alexis Mac Allister,DMC,True
6,363884,38,Ryan Gravenberch,DMC,True
7,108226,11,Mohamed Salah,AMR,True
8,369875,8,Dominik Szoboszlai,AMC,True
9,377168,7,Luis Díaz,AML,True
10,235755,20,Diogo Jota,FW,True
11,86829,3,Wataru Endo,Sub,
12,352825,18,Cody Gakpo,Sub,
13,400828,9,Darwin Núñez,Sub,
14,363982,19,Harvey Elliott,Sub,
15,424945,84,Conor Bradley,Sub,
16,301455,21,Kostas Tsimikas,Sub,
17,322176,62,Caoimhín Kelleher,Sub,
18,136451,2,Joe Gomez,Sub,
19,430019,78,Jarell Quansah,Sub,
20,115131,1,Mark Flekken,GK,True
21,329554,30,Mads Roerslev,DR,True
22,372724,22,Nathan Collins,DC,True
23,342499,5,Ethan Pinnock,DC,True
24,321085,20,Kristoffer Ajer,DL,True
25,339674,8,Mathias Jensen,MR,True
26,101856,6,Christian Nørgaard,MC,True
27,298689,27,Vitaly Janelt,MC,True
28,368512,23,Keane Lewis-Potter,ML,True
29,353377,19,Bryan Mbeumo,FW,True
30,296240,11,Yoane Wissa,FW,True
31,401168,24,Mikkel Damsgaard,Sub,
32,407260,7,Kevin Schade,Sub,
33,404109,15,Frank Onyeka,Sub,
34,401385,14,Fábio Carvalho,Sub,
35,412313,12,Hákon Valdimarsson,Sub,
36,351705,4,Sepp van den Berg,Sub,
37,94935,16,Ben Mee,Sub,
38,454756,28,Ryan Trevitt,Sub,
39,444304,18,Yehor Yarmoliuk,Sub,
