,playerId,shirtNo,name,position,isFirstEleven
0,102248,23,Emiliano Martínez,GK,True
1,408946,26,Lamare Bogarde,DR,True
2,344259,14,Pau Torres,DC,True
3,301440,4,Ezri Konsa,DC,True
4,89925,12,Lucas Digne,DL,True
5,400815,24,Amadou Onana,DMC,True
6,136345,8,Youri Tielemans,DMC,True
7,318449,7,John McGinn,AMR,True
8,362824,27,Morgan Rogers,AMC,True
9,369813,41,Jacob Ramsey,AML,True
10,148503,11,Ollie Watkins,FW,True
11,260592,10,Emiliano Buendía,Sub,
12,433517,9,Jhon Durán,Sub,
13,384134,22,Ian Maatsen,Sub,
14,411335,19,Jaden Philogene,Sub,
15,92547,6,Ross Barkley,Sub,
16,476543,18,Joe Gauci,Sub,
17,134984,3,Diego Carlos,Sub,
18,468162,72,Kadan Young,Sub,
19,492955,20,Kosta Nedeljkovic,Sub,
20,110189,1,Jordan Pickford,GK,True
21,8166,18,Ashley Young,DR,True
22,107941,5,Michael Keane,DC,True
23,131464,6,James Tarkowski,DC,True
24,345516,19,Vitalii Mykolenko,DL,True
25,80464,27,Idrissa Gueye,DMC,True
26,416208,42,Tim Iroegbunam,DMC,True
27,317896,11,Jack Harrison,AMR,True
28,357427,7,Dwight McNeil,AMC,True
29,366116,10,Iliman Ndiaye,AML,True
30,141469,9,Dominic Calvert-Lewin,FW,True
31,344073,8,Orel Mangala,Sub,
32,403646,29,Jesper Lindstrøm,Sub,
33,424495,15,Jake O'Brien,Sub,
34,380546,14,Beto,Sub,
35,367781,37,James Garner,Sub,
36,116317,16,Abdoulaye Doucouré,Sub,
37,362852,12,João Virgínia,Sub,
38,535878,75,Roman Dixon,Sub,
39,535879,45,Harrison Armstrong,Sub,
