,playerId,shirtNo,name,position,isFirstEleven
0,304008,1,Dean Henderson,GK,True
1,454342,34,Chadi Riad,DC,True
2,395401,26,Chris Richards,DC,True
3,374631,6,Marc Guéhi,DC,True
4,400496,12,Daniel Muñoz,DMR,True
5,389579,3,Tyrick Mitchell,DML,True
6,133464,8,Jefferson Lerma,MC,True
7,430774,20,Adam Wharton,MC,True
8,317504,22,Odsonne Édouard,AMC,True
9,332403,10,Eberechi Eze,AMC,True
10,328096,14,Jean-Philippe Mateta,FW,True
11,91822,15,Jeffrey Schlupp,Sub,
12,344166,18,Daichi Kamada,Sub,
13,322670,7,Ismaïla Sarr,Sub,
14,409440,29,Naouirou Ahamada,Sub,
15,374993,28,Cheick Doucouré,Sub,
16,288795,4,Rob Holding,Sub,
17,105603,32,Sam Johnstone,Sub,
18,43105,2,Joel Ward,Sub,
19,69375,17,Nathaniel Clyne,Sub,
20,92516,23,Alphonse Areola,GK,True
21,111372,5,Vladimír Coufal,DR,True
22,351127,15,Konstantinos Mavropanos,DC,True
23,368310,26,Maximilian Kilman,DC,True
24,101955,33,Emerson,DL,True
25,303876,24,Guido Rodríguez,DMC,True
26,322596,20,Jarrod Bowen,MR,True
27,319756,10,Lucas Paquetá,MC,True
28,143595,28,Tomás Soucek,MC,True
29,400166,14,Mohammed Kudus,ML,True
30,69517,9,Michail Antonio,FW,True
31,361710,25,Jean-Clair Todibo,Sub,
32,104058,11,Niclas Füllkrug,Sub,
33,322696,19,Edson Álvarez,Sub,
34,68049,3,Aaron Cresswell,Sub,
35,331924,29,Aaron Wan-Bissaka,Sub,
36,382564,7,Crysencio Summerville,Sub,
37,20973,1,Lukasz Fabianski,Sub,
38,91762,18,Danny Ings,Sub,
39,105172,8,James Ward-Prowse,Sub,
