,playerId,shirtNo,name,position,isFirstEleven
0,115131,1,Mark Flekken,GK,True
1,329554,30,Mads Roerslev,DR,True
2,372724,22,Nathan Collins,DC,True
3,342499,5,Ethan Pinnock,DC,True
4,321085,20,Kristoffer Ajer,DL,True
5,101856,6,Christian Nørgaard,MC,True
6,339674,8,Mathias Jensen,MC,True
7,298689,27,Vitaly Janelt,MC,True
8,353377,19,Bryan Mbeumo,FWR,True
9,296240,11,Yoane Wissa,FW,True
10,407260,7,Kevin Schade,FWL,True
11,401168,24,Mikkel Damsgaard,Sub,
12,404109,15,Frank Onyeka,Sub,
13,401385,14,Fábio Carvalho,Sub,
14,94935,16,Ben Mee,Sub,
15,368512,23,Keane Lewis-Potter,Sub,
16,412313,12,Hákon Valdimarsson,Sub,
17,454756,28,Ryan Trevitt,Sub,
18,423730,25,Myles Peart-Harris,Sub,
19,444304,18,Yehor Yarmoliuk,Sub,
20,304008,1,Dean Henderson,GK,True
21,231135,5,Joachim Andersen,DC,True
22,395401,26,Chris Richards,DC,True
23,374631,6,Marc Guéhi,DC,True
24,400496,12,Daniel Muñoz,DMR,True
25,389579,3,Tyrick Mitchell,DML,True
26,430774,20,Adam Wharton,MC,True
27,108638,19,Will Hughes,MC,True
28,344166,18,Daichi Kamada,AMC,True
29,332403,10,Eberechi Eze,AMC,True
30,328096,14,Jean-Philippe Mateta,FW,True
31,133464,8,Jefferson Lerma,Sub,
32,317504,22,Odsonne Édouard,Sub,
33,67491,9,Jordan Ayew,Sub,
34,374993,28,Cheick Doucouré,Sub,
35,322670,7,Ismaïla Sarr,Sub,
36,91822,15,Jeffrey Schlupp,Sub,
37,454342,34,Chadi Riad,Sub,
38,69375,17,Nathaniel Clyne,Sub,
39,105603,32,Sam Johnstone,Sub,
