,playerId,shirtNo,name,position,isFirstEleven
0,92173,1,Bernd Leno,GK,True
1,145996,2,Kenny Tete,DR,True
2,231135,5,Joachim Andersen,DC,True
3,396976,3,Calvin Bassey,DC,True
4,306581,33,Antonee Robinson,DL,True
5,243254,18,Andreas Pereira,DMC,True
6,297395,20,Sasa Lukic,DMC,True
7,140088,11,Adama Traoré,AMR,True
8,363686,32,Emile Smith Rowe,AMC,True
9,136824,17,Alex Iwobi,AML,True
10,108186,7,Raúl Jiménez,FW,True
11,403649,9,Rodrigo Muniz,Sub,
12,300359,31,Issa Diop,Sub,
13,321020,16,Sander Berge,Sub,
14,342564,19,Reiss Nelson,Sub,
15,135724,6,Harrison Reed,Sub,
16,141169,21,Timothy Castagne,Sub,
17,322611,30,Ryan Sessegnon,Sub,
18,79583,10,Tom Cairney,Sub,
19,362371,23,Steven Benda,Sub,
20,105720,22,Nick Pope,GK,True
21,83078,2,Kieran Trippier,DR,True
22,82726,5,Fabian Schär,DC,True
23,82277,33,Dan Burn,DC,True
24,332419,25,Lloyd Kelly,DL,True
25,201755,7,Joelinton,MC,True
26,338780,39,Bruno Guimarães,MC,True
27,342563,28,Joe Willock,MC,True
28,349669,10,Anthony Gordon,FWR,True
29,299254,14,Alexander Isak,FW,True
30,331382,11,Harvey Barnes,FWL,True
31,416209,18,William Osula,Sub,
32,343501,8,Sandro Tonali,Sub,
33,141486,23,Jacob Murphy,Sub,
34,415174,21,Tino Livramento,Sub,
35,430294,20,Lewis Hall,Sub,
36,303924,24,Miguel Almirón,Sub,
37,46092,1,Martin Dúbravka,Sub,
38,100599,17,Emil Krafth,Sub,
39,342811,36,Sean Longstaff,Sub,
