,playerId,shirtNo,name,position,isFirstEleven
0,92516,23,Alphonse Areola,GK,True
1,331924,29,Aaron Wan-Bissaka,DR,True
2,351127,15,Konstantinos Mavropanos,DC,True
3,368310,26,Maximilian Kilman,DC,True
4,101955,33,Emerson,DL,True
5,303876,24,Guido Rodríguez,DMC,True
6,322696,19,Edson Álvarez,DMC,True
7,322596,20,Jarrod Bowen,AMR,True
8,319756,10,Lucas Paquetá,AMC,True
9,400166,14,Mohammed Kudus,AML,True
10,69517,9,Michail Antonio,FW,True
11,111372,5,Vladimír Coufal,Sub,
12,143595,28,Tomás Soucek,Sub,
13,104058,11,Niclas Füllkrug,Sub,
14,382564,7,Crysencio Summerville,Sub,
15,20973,1,Lukasz Fabianski,Sub,
16,478319,17,Luis Guilherme,Sub,
17,361710,25,Jean-Clair Todibo,Sub,
18,463053,42,Kaelan Casey,Sub,
19,451945,39,Andy Irving,Sub,
20,121774,31,Ederson,GK,True
21,402664,24,Josko Gvardiol,DC,True
22,313171,3,Rúben Dias,DC,True
23,297390,25,Manuel Akanji,DC,True
24,93894,8,Mateo Kovacic,DMC,True
25,444791,82,Rico Lewis,DMC,True
26,388098,11,Jérémy Doku,AMR,True
27,73084,17,Kevin De Bruyne,AMC,True
28,136741,20,Bernardo Silva,AMC,True
29,113069,10,Jack Grealish,AML,True
30,315227,9,Erling Haaland,FW,True
31,77464,19,Ilkay Gündogan,Sub,
32,122945,6,Nathan Aké,Sub,
33,394933,27,Matheus Nunes,Sub,
34,69778,2,Kyle Walker,Sub,
35,133569,18,Stefan Ortega,Sub,
36,303139,16,Rodri,Sub,
37,101374,5,John Stones,Sub,
38,425576,87,James McAtee,Sub,
39,468847,75,Nico O'Reilly,Sub,
